==22989== NVPROF is profiling process 22989, command: ./jacobi
==22989== Profiling application: ./jacobi
==22989== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",48.653787,707.464738,1000,0.707464,0.699068,0.716379,"swap_63_gpu"
"GPU activities",48.189998,700.720882,1000,0.700720,0.690491,0.716219,"calcNext_47_gpu"
"GPU activities",1.657487,24.101177,16,1.506323,1.490517,1.549461,"[CUDA memcpy HtoD]"
"GPU activities",0.789123,11.474478,1009,0.011372,0.001183,1.302935,"[CUDA memcpy DtoH]"
"GPU activities",0.636137,9.249938,1000,0.009249,0.008768,0.013568,"calcNext_47_gpu__red"
"GPU activities",0.073468,1.068282,1000,0.001068,0.001023,0.001504,"[CUDA memset]"
"API calls",77.064123,1430.543553,4002,0.357457,0.002362,1.488638,"cuStreamSynchronize"
"API calls",12.266136,227.696630,1,227.696630,227.696630,227.696630,"cuDevicePrimaryCtxRetain"
"API calls",5.148336,95.568718,1,95.568718,95.568718,95.568718,"cuDevicePrimaryCtxRelease"
"API calls",1.826104,33.898017,1,33.898017,33.898017,33.898017,"cuMemHostAlloc"
"API calls",1.290298,23.951847,3000,0.007983,0.005070,0.053886,"cuLaunchKernel"
"API calls",0.748224,13.889302,1,13.889302,13.889302,13.889302,"cuMemFreeHost"
"API calls",0.609758,11.318963,1030,0.010989,0.001429,1.311879,"cuEventSynchronize"
"API calls",0.395078,7.333845,1009,0.007268,0.005722,0.030509,"cuMemcpyDtoHAsync"
"API calls",0.318899,5.919723,1000,0.005919,0.004614,0.652522,"cuMemsetD32Async"
"API calls",0.125219,2.324453,1032,0.002252,0.001567,0.008695,"cuEventRecord"
"API calls",0.115177,2.138040,5,0.427608,0.005970,1.593444,"cuMemAlloc"
"API calls",0.069027,1.281349,1,1.281349,1.281349,1.281349,"cuMemAllocHost"
"API calls",0.011449,0.212519,1,0.212519,0.212519,0.212519,"cuModuleLoadDataEx"
"API calls",0.008494,0.157680,16,0.009855,0.006996,0.041378,"cuMemcpyHtoDAsync"
"API calls",0.000839,0.015576,1,0.015576,0.015576,0.015576,"cuStreamCreate"
"API calls",0.000758,0.014071,4,0.003517,0.000925,0.005974,"cuEventCreate"
"API calls",0.000553,0.010259,3,0.003419,0.003122,0.003598,"cuPointerGetAttributes"
"API calls",0.000420,0.007805,2,0.003902,0.001285,0.006520,"cuDeviceGetPCIBusId"
"API calls",0.000399,0.007413,3,0.002471,0.000184,0.006152,"cuModuleGetFunction"
"API calls",0.000398,0.007381,3,0.002460,0.000313,0.006228,"cuCtxSetCurrent"
"API calls",0.000112,0.002087,3,0.000695,0.000465,0.000942,"cuDeviceGetCount"
"API calls",0.000067,0.001237,4,0.000309,0.000189,0.000543,"cuDeviceGetAttribute"
"API calls",0.000058,0.001077,2,0.000538,0.000181,0.000896,"cuDeviceGet"
"API calls",0.000027,0.000508,1,0.000508,0.000508,0.000508,"cuDeviceComputeCapability"
"API calls",0.000026,0.000490,1,0.000490,0.000490,0.000490,"cuCtxGetCurrent"
"API calls",0.000019,0.000361,1,0.000361,0.000361,0.000361,"cuDriverGetVersion"
"OpenACC (excl)",44.649252,715.221275,2000,0.357610,0.003458,0.920547,"acc_wait@laplace2d.c:47"
"OpenACC (excl)",44.415180,711.471761,1000,0.711471,0.703772,0.724025,"acc_wait@laplace2d.c:63"
"OpenACC (excl)",4.345639,69.611319,1,69.611319,69.611319,69.611319,"acc_enter_data@jacobi.c:51"
"OpenACC (excl)",1.559508,24.981235,1,24.981235,24.981235,24.981235,"acc_exit_data@jacobi.c:51"
"OpenACC (excl)",0.689815,11.049916,1000,0.011049,0.009933,0.032959,"acc_enqueue_launch@laplace2d.c:63 (swap_63_gpu)"
"OpenACC (excl)",0.679593,10.886170,1000,0.010886,0.009956,0.035795,"acc_enqueue_download@laplace2d.c:58"
"OpenACC (excl)",0.641444,10.275074,1000,0.010275,0.008920,0.058875,"acc_enqueue_launch@laplace2d.c:47 (calcNext_47_gpu)"
"OpenACC (excl)",0.522235,8.365514,1000,0.008365,0.005403,0.672615,"acc_wait@laplace2d.c:58"
